 # Tue Oct  7 23:25:45 2014
 # MMHT 2014 LO PDF grid for eigenvector    10.000000000000000     
 # distance(t),tolerance(T) =    5.6500000000000004        5.7771794486981909     
 # mCharm = 1.40
 # mBottom = 4.75
 # alphaS(1GeV) = 0.58831
 # alphaS(MZ) = 0.13500
 # alphaSorder,alphaSnfmax = 0, 5
 # nExtraFlavours = 0

          xg          xd          xu          xs          xc          xb         xdv         xuv         xsv
  1.3174E+01  7.9765E-01  8.0002E-01  4.6137E-01  0.0000E+00  0.0000E+00  4.5809E-03  6.9961E-03 -8.6287E-07
  1.7887E+01  8.6807E-01  8.7053E-01  5.3339E-01  0.0000E+00  0.0000E+00  4.6646E-03  7.1619E-03 -1.0041E-06
  2.2590E+01  9.3876E-01  9.4128E-01  6.0528E-01  0.0000E+00  0.0000E+00  4.7290E-03  7.2898E-03 -1.1251E-06
  3.0927E+01  1.0663E+00  1.0689E+00  7.3447E-01  0.0000E+00  0.0000E+00  4.8180E-03  7.4669E-03 -1.3106E-06
  3.0927E+01  1.0663E+00  1.0689E+00  7.3447E-01  3.5280E-07  0.0000E+00  4.8180E-03  7.4669E-03 -1.3106E-06
  3.9928E+01  1.2103E+00  1.2129E+00  8.7976E-01  1.5632E-01  0.0000E+00  4.8942E-03  7.6189E-03 -1.4873E-06
  5.0553E+01  1.3850E+00  1.3878E+00  1.0558E+00  3.3738E-01  0.0000E+00  4.9676E-03  7.7658E-03 -1.6736E-06
  6.1467E+01  1.5692E+00  1.5720E+00  1.2411E+00  5.2691E-01  0.0000E+00  5.0310E-03  7.8929E-03 -1.8473E-06
  7.3609E+01  1.7793E+00  1.7822E+00  1.4522E+00  7.4202E-01  0.0000E+00  5.0919E-03  8.0150E-03 -2.0257E-06
  8.8447E+01  2.0428E+00  2.0457E+00  1.7167E+00  1.0107E+00  0.0000E+00  5.1565E-03  8.1450E-03 -2.2278E-06
  1.0307E+02  2.3088E+00  2.3118E+00  1.9837E+00  1.2812E+00  0.0000E+00  5.2127E-03  8.2582E-03 -2.4143E-06
  1.1887E+02  2.6030E+00  2.6060E+00  2.2787E+00  1.5795E+00  0.0000E+00  5.2670E-03  8.3677E-03 -2.6044E-06
  1.3258E+02  2.8632E+00  2.8663E+00  2.5396E+00  1.8430E+00  0.0000E+00  5.3101E-03  8.4546E-03 -2.7618E-06
  1.8536E+02  3.9028E+00  3.9060E+00  3.5814E+00  2.8931E+00  0.0000E+00  5.4510E-03  8.7395E-03 -3.3200E-06
  1.8536E+02  3.9028E+00  3.9060E+00  3.5814E+00  2.8931E+00  1.0363E-07  5.4510E-03  8.7395E-03 -3.3200E-06
  1.9814E+02  4.1671E+00  4.1704E+00  3.8462E+00  3.1596E+00  3.1496E-01  5.4812E-03  8.8005E-03 -3.4482E-06
  2.3867E+02  5.0319E+00  5.0352E+00  4.7122E+00  4.0307E+00  1.2169E+00  5.5698E-03  8.9802E-03 -3.8432E-06
  2.8662E+02  6.0852E+00  6.0887E+00  5.7669E+00  5.0904E+00  2.3115E+00  5.6622E-03  9.1676E-03 -4.2835E-06
  3.3549E+02  7.1889E+00  7.1924E+00  6.8718E+00  6.1997E+00  3.4516E+00  5.7462E-03  9.3382E-03 -4.7094E-06
  3.9016E+02  8.4560E+00  8.4596E+00  8.1401E+00  7.4724E+00  4.7546E+00  5.8310E-03  9.5106E-03 -5.1649E-06
  4.3973E+02  9.6319E+00  9.6355E+00  9.3169E+00  8.6528E+00  5.9594E+00  5.9014E-03  9.6540E-03 -5.5627E-06
  5.0521E+02  1.1221E+01  1.1225E+01  1.0907E+01  1.0247E+01  7.5831E+00  5.9870E-03  9.8283E-03 -6.0699E-06
  5.6806E+02  1.2782E+01  1.2785E+01  1.2469E+01  1.1813E+01  9.1731E+00  6.0628E-03  9.9828E-03 -6.5409E-06
