1438186474	1000	200
1438186479	2000	200
1438186483	3000	250
1438186489	4000	166.667
1438186494	5000	200
1438186500	6000	166.667
1438186506	7000	166.667
1438186512	8000	166.667
1438186518	9000	166.667
1438186524	10000	166.667
1438186532	11000	125
1438186538	12000	166.667
1438186545	13000	142.857
1438186552	14000	142.857
1438186563	15000	90.9091
1438186570	16000	142.857
1438186576	17000	166.667
1438186584	18000	125
1438186597	19000	76.9231
1438186605	20000	125
1438186612	21000	142.857
1438186619	22000	142.857
1438186626	23000	142.857
1438186633	24000	142.857
