1438185423	1000	333.333
1438185426	2000	333.333
1438185429	3000	333.333
1438185432	4000	333.333
1438185436	5000	250
1438185439	6000	333.333
1438185444	7000	200
1438185448	8000	250
1438185453	9000	200
1438185457	10000	250
1438185462	11000	200
1438185466	12000	250
1438185470	13000	250
1438185474	14000	250
1438185479	15000	200
1438185483	16000	250
1438185488	17000	200
1438185493	18000	200
1438185497	19000	250
1438185502	20000	200
1438185507	21000	200
1438185512	22000	200
1438185517	23000	200
1438185523	24000	166.667
