<<<<<<< HEAD
1438187570	1000	250
1438187576	2000	166.667
1438187583	3000	142.857
1438187590	4000	142.857
1438187597	5000	142.857
1438187605	6000	125
1438187613	7000	125
1438187620	8000	142.857
1438187629	9000	111.111
1438187636	10000	142.857
1438187644	11000	125
1438187653	12000	111.111
1438187660	13000	142.857
1438187669	14000	111.111
1438187676	15000	142.857
1438187684	16000	125
1438187693	17000	111.111
1438187702	18000	111.111
1438187710	19000	125
1438187720	20000	100
1438187727	21000	142.857
1438187735	22000	125
1438187742	23000	142.857
1438187749	24000	142.857
=======
1438187430	1000	166.667
1438187435	2000	200
1438187441	3000	166.667
1438187449	4000	125
1438187456	5000	142.857
1438187463	6000	142.857
1438187473	7000	100
1438187481	8000	125
1438187490	9000	111.111
1438187504	10000	71.4286
1438187513	11000	111.111
1438187523	12000	100
1438187532	13000	111.111
1438187541	14000	111.111
1438187550	15000	111.111
1438187558	16000	125
1438187571	17000	76.9231
1438187581	18000	100
1438187589	19000	125
1438187598	20000	111.111
1438187608	21000	100
1438187617	22000	111.111
1438187629	23000	83.3333
1438187638	24000	111.111
>>>>>>> origin/master
